BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,STORIES,PRICE,QUALIFIED,SALE_NUM,GBA,STYLE_D,STRUCT_D,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,ZIPCODE,LATITUDE,LONGITUDE,CENSUS_TRACT,WARD
4,1,Hot Water Rad,Y,2,8,5,1900,2021,3,1775000,U,6,1968,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,3,24,965,20009,38.9117514,-77.04267011,4202,Ward 2
3,1,Forced Air,Y,1,5,2,1939,2017,2,1050000,Q,4,1304,2 Story,Row End,Above Average,Good,Common Brick,Comp Shingle,Hardwood,1,2,11,773,20009,38.9117689,-77.0418569,4202,Ward 2
2,1,Warm Cool,Y,1,5,2,1939,2007,2,1160000,Q,4,1261,2 Story,Row Inside,Above Average,Very Good,Common Brick,Slate,Hardwood,1,1,11,680,20009,38.91176982,-77.04203954,4202,Ward 2
2,1,Warm Cool,Y,1,5,2,1880,2004,2,799000,Q,1,970,2 Story,Row End,Above Average,Good,Common Brick,Comp Shingle,Hardwood,1,1,11,710,20009,38.91178239,-77.04217168,4202,Ward 2
2,1,Hot Water Rad,Y,1,6,3,1910,1996,2,1100000,U,1,1440,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood,1,3,11,1800,20009,38.91225631,-77.04316597,4202,Ward 2
2,1,Warm Cool,Y,1,6,2,1900,2001,3,820000,U,3,1476,3 Story,Row End,Good Quality,Good,Brick/Stone,Built Up,Hardwood,1,1,11,510,20009,38.91827297,-77.03881868,4201,Ward 1
3,1,Warm Cool,Y,2,11,4,1900,2004,2,570000,Q,1,2096,2 Story,Row Inside,Good Quality,Average,Common Brick,Built Up,Hardwood,2,5,24,1600,20009,38.91613939,-77.04056778,4201,Ward 2
1,1,Hot Water Rad,Y,1,6,4,1917,2005,2,870000,Q,1,2064,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,2,11,1600,20009,38.91613797,-77.04049629,4201,Ward 2
3,1,Forced Air,Y,1,9,4,1900,2008,3,2330000,Q,4,2592,3 Story,Row End,Very Good,Very Good,Common Brick,Built Up,Hardwood,2,1,11,1587,20009,38.91613904,-77.04001488,4201,Ward 2
3,1,Forced Air,Y,2,7,4,1910,2021,3,2050000,Q,2,2942,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,2,24,1600,20009,38.91613997,-77.03967,4201,Ward 2
3,1,Warm Cool,Y,2,7,4,1900,2007,3,1505000,Q,3,2924,3 Story,Row End,Very Good,Average,Common Brick,Built Up,Hardwood,2,3,24,1600,20009,38.91613702,-77.03931473,4201,Ward 2
4,1,Warm Cool,Y,1,7,4,1890,1992,3,1675000,Q,5,2505,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,2,11,1374,20009,38.91644605,-77.03946157,4201,Ward 2
3,1,Warm Cool,Y,2,11,4,1905,2012,3,1575000,U,5,2445,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,3,24,1374,20009,38.91644206,-77.03927881,4201,Ward 2
4,1,Hot Water Rad,Y,2,12,3,1905,2009,3,1675000,Q,3,2541,3 Story,Row Inside,Very Good,Average,Common Brick,Built Up,Hardwood,2,4,24,1373,20009,38.91644307,-77.03922357,4201,Ward 2
3,1,Warm Cool,Y,2,11,5,1900,2008,3,495000,Q,1,2445,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,4,24,1373,20009,38.91644822,-77.03917123,4201,Ward 2
3,1,Hot Water Rad,Y,2,10,8,1915,2008,3,945000,Q,1,3616,3 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,2,2,24,2150,20009,38.91428773,-77.04029669,4201,Ward 2
6,1,Ht Pump,Y,1,14,6,1892,2017,3.5,4400000,U,4,4018,4 Story,Row Inside,Very Good,Excellent,Common Brick,Metal- Sms,Hardwood,2,5,11,2150,20009,38.91431888,-77.03981623,4201,Ward 2
4,1,Warm Cool,Y,2,8,5,1910,2016,3,2650000,Q,5,2762,3 Story,Row Inside,Very Good,Very Good,Common Brick,Built Up,Hardwood,2,2,24,1830,20009,38.91467097,-77.03968371,4201,Ward 2
2,1,Hot Water Rad,N,2,8,4,1908,2006,3,900000,Q,1,2525,3 Story,Row Inside,Very Good,Average,Common Brick,Built Up,Hardwood,2,2,24,1830,20009,38.91466698,-77.04003147,4201,Ward 2
4,1,Warm Cool,Y,3,12,4,1908,2004,3,275000,Q,1,2788,3 Story,Row End,Very Good,Good,Common Brick,Built Up,Hardwood,3,2,24,1830,20009,38.91467245,-77.04010319,4201,Ward 2
3,1,Ht Pump,Y,2,7,4,1912,2021,2,2600000,Q,5,2176,2 Story,Row Inside,Very Good,Very Good,Common Brick,Built Up,Hardwood,1,1,11,1830,20009,38.91469733,-77.04031606,4201,Ward 2
3,1,Warm Cool,Y,1,8,4,1910,2011,4,362500,Q,1,2911,4 Story,Row End,Very Good,Average,Common Brick,Built Up,Hardwood,1,2,11,1029,20009,38.91469013,-77.03950073,4201,Ward 2
3,1,Hot Water Rad,N,1,12,6,1910,1994,4,1350000,Q,3,3647,4 Story,Row Inside,Excellent,Average,Brick/Stone,Built Up,Hardwood,1,1,11,1042,20009,38.91468917,-77.03941932,4201,Ward 2
4,2,Warm Cool,Y,2,8,6,1910,2003,3,949000,Q,1,2484,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,2,24,1680,20009,38.91468278,-77.04096741,4201,Ward 2
3,1,Hot Water Rad,Y,2,9,5,1910,2009,3,2100000,Q,3,2522,3 Story,Row Inside,Very Good,Very Good,Common Brick,Built Up,Hardwood,2,4,24,1680,20009,38.9146835,-77.0407104,4201,Ward 2
3,1,Hot Water Rad,Y,2,8,5,1900,2003,3,1602000,Q,1,2484,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,3,24,1680,20009,38.91468254,-77.04062899,4201,Ward 2
3,1,Hot Water Rad,Y,2,8,4,1906,2011,3,1050000,Q,1,2401,3 Story,Row Inside,Very Good,Average,Common Brick,Metal- Sms,Hardwood,2,1,24,1627,20009,38.91535915,-77.04012548,4201,Ward 2
3,1,Ht Pump,Y,2,7,3,1908,2012,2,1430000,Q,4,1638,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,2,1,24,1424,20009,38.91501736,-77.03990344,4201,Ward 2
4,1,Warm Cool,Y,2,11,6,1905,2014,3,1300000,Q,1,2837,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,2,4,24,1700,20009,38.91677579,-77.03942463,4201,Ward 2
4,1,Warm Cool,Y,2,10,5,1907,2014,3,1725000,Q,3,2756,3 Story,Row Inside,Very Good,Average,Common Brick,Metal- Sms,Hardwood,2,3,24,1700,20009,38.91677171,-77.03924612,4201,Ward 2
3,1,Warm Cool,Y,2,8,3,1915,1998,2,1250000,Q,4,1382,2 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,1,24,1386,20009,38.91644466,-77.03904208,4201,Ward 2
6,1,Warm Cool,Y,3,14,6,1900,2020,2.25,1750000,Q,5,2530,3 Story,Row Inside,Very Good,Average,Common Brick,Built Up,Hardwood,3,2,24,1622,20009,38.91645576,-77.04057234,4201,Ward 2
3,1,Warm Cool,Y,2,12,5,1900,2014,2.25,1650000,U,4,2539,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,1,24,1622,20009,38.9164585,-77.04071487,4201,Ward 2
5,1,Warm Cool,Y,2,10,5,1923,2011,3,1980000,U,4,2829,3 Story,Row Inside,Good Quality,Very Good,Common Brick,Built Up,Hardwood,2,1,24,1512,20009,38.91612337,-77.04103535,4201,Ward 2
4,1,Hot Water Rad,Y,2,11,5,1905,2003,3,1580000,Q,3,2829,3 Story,Row Inside,Good Quality,Average,Common Brick,Built Up,Hardwood,2,1,24,1512,20009,38.91612441,-77.04090228,4201,Ward 2
3,1,Hot Water Rad,Y,2,10,4,1905,1985,3,405000,Q,1,2572,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,2,1,24,1700,20009,38.91579288,-77.04069223,4201,Ward 2
3,1,Hot Water Rad,Y,2,9,6,1905,2011,3,1075000,Q,1,2613,3 Story,Row Inside,Very Good,Average,Common Brick,Metal- Sms,Hardwood,2,3,24,1700,20009,38.9157937,-77.04093161,4201,Ward 2
2,1,Wall Furnace,Y,1,9,4,1905,2004,3,1130000,Q,1,2572,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,1,2,11,1700,20009,38.91579233,-77.04099261,4201,Ward 2
2,1,Warm Cool,Y,2,7,3,1979,2010,2,1345000,Q,3,1360,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,2,2,24,1098,20009,38.91586059,-77.03868684,4201,Ward 2
2,1,Ht Pump,Y,2,7,3,1979,2014,2,1225000,Q,2,1360,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,2,2,24,1098,20009,38.91580364,-77.03873144,4201,Ward 2
3,1,Ht Pump,Y,2,6,3,1979,2008,2,1250000,Q,4,1360,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,2,2,24,1098,20009,38.91576149,-77.03868448,4201,Ward 2
3,1,Hot Water Rad,Y,2,10,4,1900,2018,2,1193500,Q,1,2900,2 Story,Row Inside,Very Good,Average,Common Brick,Metal- Sms,Hardwood,2,1,24,1600,20009,38.91614253,-77.03953082,4201,Ward 2
4,1,Forced Air,Y,3,10,7,1908,1989,2,1850000,Q,3,2900,2 Story,Row Inside,Very Good,Average,Common Brick,Metal- Sms,Hardwood,3,1,24,1600,20009,38.9161422,-77.03945598,4201,Ward 2
3,1,Warm Cool,Y,2,11,3,1955,2012,3,555325,Q,1,2908,3 Story,Row Inside,Very Good,Average,Brick/Stone,Built Up,Hardwood,2,2,24,1755,20009,38.91429389,-77.04070302,4201,Ward 2
3,1,Hot Water Rad,Y,2,9,4,1890,2003,3,1860000,Q,3,2634,3 Story,Row Inside,Very Good,Good,Brick/Stone,Metal- Cpr,Hardwood,2,6,24,1755,20009,38.91429549,-77.04077498,4201,Ward 2
2,1,Warm Cool,Y,1,6,3,1890,1989,2,955000,Q,1,1860,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1,2,11,1755,20009,38.9143361,-77.04108136,4201,Ward 2
2,1,Warm Cool,Y,1,5,2,1875,2011,2,1060000,Q,3,1192,2 Story,Row Inside,Average,Good,Stucco,Metal- Sms,Hardwood,1,1,11,1631,20009,38.91536879,-77.04089366,4201,Ward 2
1,1,Warm Cool,Y,1,6,3,1880,2011,3,673500,Q,1,1350,3 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,827,20009,38.91745492,-77.03911078,4201,Ward 1
1,1,Warm Cool,Y,1,6,3,1880,2002,3,490500,Q,1,1530,3 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,1,11,827,20009,38.91745338,-77.03885225,4201,Ward 1
1,1,Warm Cool,Y,1,6,3,1880,2006,3,450000,Q,1,1350,3 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,1,1,11,827,20009,38.91745423,-77.03874144,4201,Ward 1
1,1,Warm Cool,Y,1,6,3,1878,2010,3,880000,Q,4,1350,3 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,1,11,827,20009,38.91767002,-77.03915587,4201,Ward 1
1,1,Warm Cool,Y,1,6,2,1900,2001,2,575000,Q,1,1200,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,1,11,827,20009,38.91767883,-77.03921388,4201,Ward 1
5,1,Warm Cool,Y,2,7,5,1900,2013,3,1050000,Q,1,1788,3 Story,Row End,Good Quality,Good,Common Brick,Built Up,Hardwood,2,2,24,1120,20009,38.91780295,-77.03872952,4201,Ward 1
1,1,Warm Cool,Y,2,9,4,1900,2019,3,1550000,Q,5,1800,3 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,2,2,24,1120,20009,38.91789249,-77.03872473,4201,Ward 1
2,1,Warm Cool,Y,2,8,3,1900,2003,3,970000,Q,4,1728,3 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood,2,1,24,960,20009,38.91767135,-77.03976148,4201,Ward 1
2,1,Hot Water Rad,N,2,6,3,1907,2014,3,650000,Q,1,1851,3 Story,Row Inside,Very Good,Average,Brick/Stone,Built Up,Hardwood,2,1,24,952,20009,38.91794916,-77.03951971,4201,Ward 1
4,1,Warm Cool,Y,2,10,5,1909,2007,3,1200000,Q,1,2443,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,2,24,1190,20009,38.91720139,-77.03946995,4201,Ward 1
6,1,Warm Cool,Y,2,10,6,1900,2003,3,1231000,Q,1,2838,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,1,24,1190,20009,38.91720098,-77.04042402,4201,Ward 1
2,1,Warm Cool,Y,1,6,2,1900,2016,2,1110000,Q,5,1304,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,960,20009,38.91744937,-77.04006036,4201,Ward 1
2,1,Warm Cool,Y,1,6,2,1900,2001,2,930388,Q,5,1286,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood,1,1,11,960,20009,38.91744853,-77.03989166,4201,Ward 1
1,1,Warm Cool,Y,1,6,3,1900,2015,2,162000,Q,1,1286,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood,1,1,11,960,20009,38.91744733,-77.0397218,4201,Ward 1
1,1,Warm Cool,Y,1,6,3,1900,2002,2,149500,Q,1,1286,2 Story,Row Inside,Above Average,Average,Common Brick,Built Up,Hardwood,1,1,11,960,20009,38.91744724,-77.03944022,4201,Ward 1
2,1,Warm Cool,Y,1,7,3,1900,2008,2,1155200,Q,5,1852,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,1,1,11,1450,20009,38.91768328,-77.03936759,4201,Ward 1
1,1,Hot Water Rad,Y,1,6,3,1907,2000,2,741600,Q,1,1354,2 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1,1,11,1134,20009,38.91793494,-77.03946724,4201,Ward 1
3,1,Forced Air,Y,1,9,3,1900,2015,3,1615000,Q,4,1865,3 Story,Row End,Above Average,Very Good,Common Brick,Built Up,Hardwood,1,1,13,1882,20009,38.9174391,-77.03927163,4201,Ward 1
4,1,Warm Cool,Y,2,9,5,1900,2013,3,2495000,Q,4,3050,3 Story,Row Inside,Very Good,Very Good,Common Brick,Built Up,Hardwood,2,5,24,1620,20009,38.91430568,-77.0437276,4202,Ward 2
3,1,Hot Water Rad,Y,3,11,5,1900,2010,3,1095000,Q,1,3410,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,3,2,24,1620,20009,38.91430093,-77.04391727,4202,Ward 2
3,1,Hot Water Rad,N,3,9,5,1900,2004,3,499000,Q,1,2921,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,3,1,24,1620,20009,38.91429901,-77.0439906,4202,Ward 2
5,1,Warm Cool,Y,1,9,4,1900,2019,3,1750000,Q,4,2877,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,1,24,1620,20009,38.91430455,-77.04410626,4202,Ward 2
4,1,Warm Cool,Y,2,9,6,1900,2022,3,1647000,Q,4,2816,3 Story,Row Inside,Very Good,Average,Common Brick,Built Up,Hardwood,2,3,24,1620,20009,38.91430468,-77.0442354,4202,Ward 2
3,1,Forced Air,Y,2,9,4,1900,2015,3,1900000,Q,5,2844,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,2,2,24,1620,20009,38.91430467,-77.0444885,4202,Ward 2
3,2,Forced Air,Y,1,9,5,1885,2015,3,2100000,Q,3,2904,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,2,4,11,1620,20009,38.91426681,-77.04454751,4202,Ward 2
4,1,Forced Air,Y,1,10,7,1900,2014,3,2800000,Q,5,3900,3 Story,Row Inside,Very Good,Very Good,Common Brick,Metal- Sms,Hardwood,2,2,11,2338,20009,38.91466178,-77.04373335,4202,Ward 2
2,1,Warm Cool,Y,2,8,3,1977,2018,3,1256000,Q,2,1920,3 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,2,24,1176,20009,38.9153949,-77.04366266,4202,Ward 2
2,1,Warm Cool,Y,1,9,5,1916,2009,3,845000,Q,1,4224,3 Story,Row End,Good Quality,Good,Common Brick,Built Up,Hardwood,1,2,11,1750,20009,38.91388017,-77.04432923,4202,Ward 2
8,2,Hot Water Rad,Y,2,14,9,1910,2011,3.5,1300000,U,1,4410,3.5 Story Fin,Row End,Very Good,Average,Common Brick,Built Up,Hardwood,1,2,24,2957,20009,38.91326107,-77.04374298,4202,Ward 2
2,1,Warm Cool,Y,1,9,3,1928,2007,3,1495000,Q,1,2510,3 Story,Row Inside,Good Quality,Excellent,Common Brick,Built Up,Hardwood,1,2,11,1805,20009,38.9130365,-77.04370595,4202,Ward 2
3,2,Warm Cool,Y,2,10,3,1883,2013,3,1350000,Q,1,3240,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,2,6,24,1534,20009,38.91163057,-77.04371823,4202,Ward 2
4,1,Warm Cool,Y,3,11,5,1885,2010,3,1925000,Q,1,3132,3 Story,Row Inside,Very Good,Very Good,Common Brick,Metal- Sms,Hardwood,3,2,24,1398,20009,38.91141383,-77.04371429,4202,Ward 2
5,1,Forced Air,Y,2,10,5,1885,2011,3,366000,Q,1,3120,3 Story,Row Inside,Average,Average,Common Brick,Built Up,Hardwood,2,2,24,1365,20009,38.91135797,-77.04372521,4202,Ward 2
4,1,Ht Pump,Y,2,10,6,1853,2016,3,2450700,Q,4,2430,3 Story,Row Inside,Excellent,Very Good,Common Brick,Built Up,Hardwood,2,1,24,868,20009,38.91235971,-77.04369216,4202,Ward 2
4,1,Warm Cool,Y,2,13,6,1900,2006,3,1050000,U,1,2640,3 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,2,2,24,868,20009,38.91230422,-77.04368578,4202,Ward 2
3,1,Forced Air,Y,1,5,4,1978,2015,3,1435100,Q,2,2400,3 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,2,3,11,1436,20009,38.91607342,-77.04267108,4202,Ward 2
2,1,Forced Air,Y,2,8,3,1976,2018,3,1400000,Q,3,2268,3 Story,Row Inside,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,2,24,1684,20009,38.91575608,-77.04234953,4202,Ward 2
3,1,Warm Cool,Y,3,11,4,1905,2000,3,1245000,Q,1,2586,3 Story,Row Inside,Excellent,Good,Brick/Stone,Built Up,Hardwood,3,2,24,1350,20009,38.91499554,-77.04249874,4202,Ward 2
2,1,Warm Cool,Y,2,8,3,1848,1973,2,1456000,Q,2,2000,2 Story,Row End,Very Good,Average,Common Brick,Built Up,Hardwood,2,2,24,1921,20009,38.91542339,-77.04312696,4202,Ward 2
4,1,Hot Water Rad,Y,2,13,5,1915,2008,3,2715000,Q,3,3508,3 Story,Row Inside,Very Good,Good,Common Brick,Slate,Hardwood,2,2,24,2113,20009,38.91524574,-77.04312535,4202,Ward 2
5,1,Warm Cool,Y,3,10,6,1892,2009,3,2107000,Q,2,3522,3 Story,Row End,Very Good,Very Good,Stone/Stucco,Built Up,Hardwood,3,6,24,1381,20009,38.91492945,-77.04315698,4202,Ward 2
3,1,Hot Water Rad,Y,2,7,4,1888,2009,2,1349000,Q,1,1840,2 Story,Row Inside,Average,Very Good,Common Brick,Built Up,Hardwood,2,1,24,2000,20009,38.91538581,-77.04192809,4202,Ward 2
3,1,Hot Water Rad,Y,2,11,6,1915,1995,4,1435000,Q,1,3900,4 Story,Row Inside,Very Good,Good,Common Brick,Metal- Sms,Hardwood,2,3,24,2000,20009,38.91382504,-77.0431283,4202,Ward 2
2,1,Forced Air,Y,1,7,2,1900,2015,2,885000,Q,7,1256,2 Story,Row End,Average,Average,Stucco,Built Up,Hardwood,1,1,11,968,20008,38.91303458,-77.04704939,5502,Ward 2
1,1,Warm Cool,Y,1,7,2,1880,2000,2,585000,Q,1,828,2 Story,Row Inside,Average,Good,Wood Siding,Built Up,Hardwood,1,1,11,787,20008,38.91289536,-77.04714258,5502,Ward 2
2,2,Warm Cool,Y,1,8,4,1906,2007,4,1479000,Q,1,3180,4 Story,Row Inside,Excellent,Good,Common Brick,Built Up,Hardwood,1,1,11,1424,20008,38.91278246,-77.04697566,5502,Ward 2
2,2,Warm Cool,Y,1,7,3,1906,2019,4,2425000,Q,4,2810,4 Story,Row Inside,Superior,Very Good,Common Brick,Built Up,Terrazo,1,1,11,1253,20008,38.91279204,-77.0468968,5502,Ward 2
3,1,Ht Pump,Y,1,6,3,1906,2009,4,1200000,Q,1,2588,4 Story,Row End,Superior,Good,Common Brick,Built Up,Hardwood,1,1,11,1243,20008,38.91278802,-77.04681332,5502,Ward 2
2,1,Warm Cool,Y,1,6,2,1905,2020,3,664150,U,1,1200,3 Story,Row End,Very Good,Good,Common Brick,Clay Tile,Hardwood,2,2,24,268,20009,38.91361331,-77.04679956,5502,Ward 2
4,1,Hot Water Rad,Y,2,9,6,1900,1973,3,1562500,Q,3,2553,3 Story,Row Inside,Very Good,Average,Common Brick,Neopren,Hardwood,3,6,24,1321,20008,38.91239669,-77.04751859,5502,Ward 2
2,1,Warm Cool,Y,1,7,3,1906,2004,2,1280000,Q,2,1630,2 Story,Row End,Good Quality,Good,Common Brick,Built Up,Hardwood,1,2,11,1000,20009,38.91349607,-77.0463724,5502,Ward 2
4,1,Warm Cool,Y,2,11,5,1887,2015,2.5,750000,Q,2,3287,3 Story,Row End,Excellent,Average,Common Brick,Built Up,Hardwood,2,3,24,2678,20009,38.91274681,-77.04601286,5502,Ward 2
4,3,Warm Cool,Y,1,16,5,1916,2008,3,3257500,Q,4,4323,3 Story,Row End,Very Good,Very Good,Common Brick,Built Up,Hardwood,1,5,11,2850,20009,38.91282907,-77.04620812,5502,Ward 2
3,1,Hot Water Rad,Y,2,8,4,1910,2003,3,1680000,Q,1,2556,3 Story,Row Inside,Very Good,Very Good,Stucco Block,Neopren,Hardwood,2,3,24,1960,20009,38.91130425,-77.04570984,5502,Ward 2
4,2,Warm Cool,Y,2,11,3,1910,2020,3,3250000,Q,7,4488,3 Story,Row Inside,Very Good,Very Good,Common Brick,Metal- Sms,Hardwood,2,6,24,1960,20009,38.91136935,-77.04578068,5502,Ward 2
4,1,Hot Water Rad,Y,2,11,6,1897,2007,4,2834050,Q,1,3263,3 Story,Row End,Excellent,Very Good,Common Brick,Built Up,Hardwood,2,6,24,1800,20009,38.9116711,-77.04615491,5502,Ward 2
3,1,Ht Pump,Y,1,9,4,1897,2011,2.5,2200000,Q,2,3670,2.5 Story Fin,Row End,Very Good,Good,Common Brick,Built Up,Hardwood,1,2,11,1973,20009,38.91166301,-77.04604179,5502,Ward 2
3,1,Hot Water Rad,N,3,10,4,1897,2007,3,1495000,U,1,2940,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,3,6,24,1800,20009,38.911685490000004,-77.04596928,5502,Ward 2
3,1,Warm Cool,Y,2,11,4,1895,2001,3,1945000,Q,1,3042,3 Story,Row Inside,Very Good,Very Good,Common Brick,Metal- Cpr,Hardwood,2,6,24,1800,20009,38.91168528,-77.04582781,5502,Ward 2
3,1,Warm Cool,Y,2,11,4,1897,2009,3,1805000,Q,1,3016,3 Story,Row Inside,Very Good,Very Good,Stucco,Built Up,Hardwood,2,6,24,1800,20009,38.91170329,-77.04576175,5502,Ward 2
2,1,Warm Cool,Y,1,9,3,1897,2004,3,2150000,Q,4,2664,3 Story,Row Inside,Very Good,Very Good,Common Brick,Metal- Sms,Hardwood,2,2,11,1620,20009,38.91170305,-77.04568854,5502,Ward 2
3,1,Warm Cool,Y,1,11,5,1883,1935,3,1625000,Q,2,2500,3 Story,Row Inside,Very Good,Good,Common Brick,Built Up,Hardwood,2,7,11,1800,20009,38.91170335,-77.04562443,5502,Ward 2
